"pigeon","oiseau de la famille des columbidés, vivant en plaine et dans les villes, et se nourrissant principalement de graines."
"pizza","plat cuisiné chaud constitué d’une pâte à pain recouverte de sauce tomate cuisinée et garnie de divers ingrédients."
"tabernacien","relatif à taverny, commune française située dans le département du val d’oise."
"tabes","variante de tabès."
"tabiser","rendre une étoffe ondée à la manière du tabis."
"tablature","système schématisé de notation musicale pour un instrument qui indique les doigtés et le rythme."
"tableautin","petit tableau."
"tabletier","celui, celle qui fait et vend des échiquiers, des tables pour jouer aux dames, aux échecs, des billes pour jouer au billard, toutes sortes d’articles d’ivoire, d’ébène, etc."
"tabletterie","métier et commerce du tabletier."
"tabloïde","journal dont la taille est au demi-format des journaux habituels."
